id	narragansett	modern	historical
rw-069-yahen-paushaq-aw	Yahen Paushaqúaw	Almost noon.	Allmost noone.
rw-070-p-weshaquaw	Páweshaquaw	Noon.	Noone.
rw-071-qutt-kquaquaw	Quttùkquaquaw	After the midday meal.	After dinner.
rw-072-naww-uwqaw	Nawwâuwqaw	Afternoon.	After-noone.
rw-073-nquittaq-nnegat	Nquittaqúnnegat	One day.	One day.
rw-074-neesq-nnagat	Neesqúnnagat	Two days.	2 dayes.
rw-075-shuckqun-ckat	Shuckqunóckat	Three days.	3 dayes.
rw-076-piuckaq-nnagat	Piuckaqúnnagat	Ten days.	10 dayes.
rw-077-piuckaqunnagat-nabnaqu-t	Piuckaqunnagat nabnaquìt	Eleven days.	11 dayes.
rw-078-neesneechektashuck-qunn-	Neesneechektashuck qunnóckat	Twenty days.	20 dayes.
rw-079-s-quan	Séquan	Spring.	The Spring.
rw-080-aukeete-mitch	Aukeeteámitch	Spring; seed-time.	Spring, or seed-time.
rw-081-m-yi	Máyi	A path / way.	A way.
rw-082-mat-mayan-nno	Mat mayanúnno	There is no path.	There is no way.
rw-083-peem-yag-t	Peemáyagât	A short way.	A little way.
rw-084-mishimm-yagat	Mishimmáyagat	A great path.	A great path.
rw-085-mach-pscat	Machípscat	A stony path.	A stone path.
rw-086-nnatotem-ckaun	Nnatotemúckaun	I will ask the way.	I will aske the way.
rw-087-kunnat-temous	Kunnatótemous	I will ask you.	I will inquire of you.
rw-088-kokotem-innea-m-yi	Kokotemíinnea méyi	Show me the way.	Shew me the way.
rw-089-k-esuck	Kéesuck	The heavens / sky.	The Heavens.
rw-090-keesucqu-u	Keesucquíu	Toward the heavens.	Heavenward.
rw-091-a-ke-aukease-u	Aúke, Aukeaseíu	Downward; toward the earth.	Downwards.
rw-092-nipp-wus	Nippâwus	The sun.	The Sun.
rw-093-keesuckqu-nd	Keesuckquànd	A name for the sun.	A name of the Sun.
rw-094-munn-nnock	Munnánnock	A name for the sun.	A name of the Sun.
rw-095-pashp-shea	Pashpíshea	The moon is up.	The Moone is up.
rw-096-y-ockquitteunk	Yò Ockquitteunk	A new moon.	A new Moone.
rw-097-t-ocke-tussinn-mmin-k-es	T Ocke tussinnámmin kéesuck	What do you think of the weather?	What thinke you of the Weather?
rw-098-wekinea-quat	Wekineaûquat	Fair weather.	Faire Weather.
rw-099-wekinn-uquocks	Wekinnàuquocks	When the weather is fair.	When it is faire Weather.
rw-100-tahk-or-t-takki	Tahkì or tátakki	Cold weather.	Cold Weather.
rw-101-tahk-es	Tahkèes	Cold.	Cold.
rw-102-ta-kocks	Taúkocks	Cold weather.	Cold weather.
rw-103-k-usitteks	Káusitteks	Hot weather.	Hot weather.
rw-104-kuss-ttah	Kussúttah	It is hot.	It is hot.
rw-105-w-a-pi	W Aûpi	The wind.	The Wind.
rw-106-w-upanash	Wâupanash	The winds.	The Winds.
rw-107-tash-nash-waupanash	Tashínash waupanash	How many winds are there?	How many winds are there?
rw-108-chepew-ssin	Chepewéssin	The northeast wind.	The North east.
rw-109-s-chimoachepew-ssin	Sáchimoachepewéssin	A strong northeast wind.	Strong North east wind.
rw-110-nop-tin	Nopâtin	The east wind.	The East wind.
rw-111-nan-ckquittin	Nanóckquittin	The southeast wind.	The South east wind.
rw-112-touw-ttin	Touwúttin	The south wind.	South wind.
rw-113-npesh-wog	NPesháwog	Birds / fowl.	} Fowle
rw-114-ntauch-umen	Ntauchâumen	I go hunting or fowling.	I goe a fowling or hunting.
rw-115-aucha-i	Auchaûi	He has gone to hunt or fowl.	Hee is gone to hunt or fowle.
rw-116-pepem-i	Pepemôi	He has gone fowling.	He is gone to fowle.
rw-117-w-mpissacuk	Wómpissacuk	An eagle.	An Eagle.
rw-118-wompsacuckqu-uog	Wompsacuckquâuog	Eagles.	Eagle.
rw-119-n-yhom-m-uog	Néyhom, mâuog	Turkeys.	Turkies.
rw-120-paupock-s-og	Paupock, sûog	Partridges.	Partridges.
